ID,ARK_ROLE_ID,ARK_MODULE_ID,ARK_FUNCTION_ID,ARK_PERMISSION_ID
1,1,NULL,NULL,1
2,1,NULL,NULL,2
3,1,NULL,NULL,3
4,1,NULL,NULL,4
7,2,1,2,1
8,2,1,2,2
9,2,1,2,3
10,2,1,3,2
11,2,1,3,3
12,2,1,4,1
13,2,1,4,2
14,2,1,4,3
15,3,1,1,2
16,3,1,2,2
20,4,2,5,1
21,4,2,5,2
22,4,2,5,3
23,4,2,6,1
24,4,2,6,2
25,4,2,6,3
26,4,2,6,4
27,4,2,7,1
28,4,2,7,2
29,4,2,7,3
30,4,2,7,4
31,4,2,8,1
32,4,2,8,2
33,4,2,8,3
34,4,2,8,4
35,4,2,9,1
36,4,2,9,2
37,4,2,9,3
38,4,2,9,4
39,5,2,5,2
40,5,2,6,2
41,5,2,6,3
42,5,2,7,2
43,5,2,7,3
44,5,2,8,2
45,5,2,8,3
46,5,2,9,2
47,5,2,9,3
48,4,2,10,1
49,4,2,10,2
50,4,2,10,3
51,4,2,11,1
52,4,2,11,2
53,4,2,11,3
54,5,2,5,1
55,5,2,5,3
56,5,2,6,1
57,5,2,6,4
58,5,2,7,1
59,5,2,7,4
60,5,2,8,1
61,5,2,8,4
62,5,2,9,1
63,5,2,9,4
64,6,2,5,2
65,6,2,6,2
66,6,2,7,2
67,6,2,8,2
68,6,2,9,2
69,6,2,34,2
70,8,3,12,2
71,8,3,13,2
74,8,3,16,1
75,10,5,17,3
79,9,5,17,2
80,9,5,18,2
81,9,5,19,2
82,9,5,20,2
83,7,3,12,2
84,7,3,13,2
85,7,3,14,2
86,7,3,15,2
87,7,3,16,2
88,5,2,10,1
89,8,3,22,2
91,10,5,17,4
92,2,1,23,2
93,3,1,23,2
94,4,2,24,2
95,5,2,24,2
96,6,2,24,2
98,5,2,25,2
99,6,2,25,2
100,7,3,26,2
101,8,3,26,2
102,10,5,17,4
104,11,4,27,2
106,8,3,14,2
107,6,2,21,2
108,5,2,21,1
109,5,2,21,2
110,5,2,21,3
111,5,2,21,4
112,4,2,21,1
113,4,2,21,2
114,4,2,21,3
115,4,2,21,4
116,12,5,17,1
117,12,5,17,2
118,12,5,17,3
119,12,5,17,4
120,12,5,18,1
121,12,5,18,2
122,12,5,18,3
123,12,5,18,4
124,12,5,19,1
125,12,5,19,2
126,12,5,19,3
127,12,5,19,4
128,12,5,20,1
129,12,5,20,2
130,12,5,20,3
131,12,5,20,4
133,13,3,13,1
136,13,3,16,1
138,13,3,26,2
142,1,9,28,1
143,1,9,28,2
144,1,9,28,3
145,1,9,28,4
146,13,3,22,2
147,7,3,22,2
148,13,3,12,1
149,13,3,12,2
184,4,2,34,1
185,4,2,34,2
186,4,2,34,3
187,4,2,34,4
188,5,2,34,1
189,5,2,34,2
190,5,2,34,3
191,5,2,34,4
192,12,5,35,1
193,12,5,35,2
194,12,5,35,3
195,12,5,36,1
196,12,5,36,2
197,12,5,36,3
198,12,5,36,4
199,10,5,36,1
